date,sales
2016-10-31,2023
2016-11-01,2520
2016-11-02,2573
2016-11-03,2576
2016-11-04,2814
2016-11-05,2977
2016-11-06,3220
2016-11-07,2136
2016-11-08,2450
2016-11-09,2552
2016-11-10,2633
2016-11-11,2892
2016-11-12,3095
2016-11-13,3345
2016-11-14,2125
2016-11-15,2534
2016-11-16,2491
2016-11-17,2752
2016-11-18,2818
2016-11-19,3030
2016-11-20,3200
2016-11-21,2100
2016-11-22,2442
2016-11-23,2569
2016-11-24,2684
2016-11-25,2847
2016-11-26,2935
2016-11-27,3166
2016-11-28,2106
2016-11-29,2491
2016-11-30,2505
2016-12-01,1890
2016-12-02,1993
2016-12-03,2113
2016-12-04,2330
2016-12-05,1596
2016-12-06,1759
2016-12-07,1749
2016-12-08,1833
2016-12-09,2073
2016-12-10,2194
2016-12-11,2324
2016-12-12,1629
2016-12-13,1723
2016-12-14,1803
2016-12-15,1878
2016-12-16,2141
2016-12-17,2196
2016-12-18,2216
2016-12-19,1481
2016-12-20,1804
2016-12-21,1826
2016-12-22,1976
2016-12-23,2114
2016-12-24,2160
2016-12-25,2279
2016-12-26,1540
2016-12-27,1735
2016-12-28,1776
2016-12-29,1943
2016-12-30,2062
2016-12-31,2110
2017-01-01,2155
2017-01-02,1441
2017-01-03,1635
2017-01-04,1713
2017-01-05,1858
2017-01-06,1890
2017-01-07,2043
2017-01-08,2187
2017-01-09,1444
2017-01-10,1775
2017-01-11,1682
2017-01-12,1768
2017-01-13,1897
2017-01-14,2052
2017-01-15,2203
2017-01-16,1422
2017-01-17,1695
2017-01-18,1670
2017-01-19,1773
2017-01-20,1961
2017-01-21,1993
2017-01-22,2130
2017-01-23,1475
2017-01-24,1661
2017-01-25,1687
2017-01-26,1724
2017-01-27,1859
2017-01-28,2045
2017-01-29,2105
2017-01-30,1406
2017-01-31,1737
2017-02-01,1850
2017-02-02,1911
2017-02-03,2140
2017-02-04,2289
2017-02-05,2399
2017-02-06,1609
2017-02-07,1821
2017-02-08,1840
2017-02-09,1991
2017-02-10,2098
2017-02-11,2207
2017-02-12,2363
2017-02-13,1590
2017-02-14,1839
2017-02-15,1952
2017-02-16,1961
2017-02-17,2137
2017-02-18,2184
2017-02-19,2461
2017-02-20,1602
2017-02-21,1866
2017-02-22,1825
2017-02-23,1979
2017-02-24,2191
2017-02-25,2210
2017-02-26,2357
2017-02-27,1594
2017-02-28,1832
2017-03-01,2250
2017-03-02,2447
2017-03-03,2524
2017-03-04,2615
2017-03-05,2837
2017-03-06,1872
2017-03-07,2187
2017-03-08,2242
2017-03-09,2345
2017-03-10,2472
2017-03-11,2662
2017-03-12,2873
2017-03-13,1927
2017-03-14,2187
2017-03-15,2218
2017-03-16,2359
2017-03-17,2428
2017-03-18,2691
2017-03-19,2839
2017-03-20,1868
2017-03-21,2240
2017-03-22,2180
2017-03-23,2271
2017-03-24,2516
2017-03-25,2758
2017-03-26,2916
2017-03-27,1972
2017-03-28,2232
2017-03-29,2205
2017-03-30,2397
2017-03-31,2507
2017-04-01,3230
2017-04-02,3347
2017-04-03,2235
2017-04-04,2585
2017-04-05,2601
2017-04-06,2828
2017-04-07,2949
2017-04-08,3194
2017-04-09,3336
2017-04-10,2219
2017-04-11,2568
2017-04-12,2515
2017-04-13,2812
2017-04-14,2956
2017-04-15,3168
2017-04-16,3292
2017-04-17,2207
2017-04-18,2597
2017-04-19,2558
2017-04-20,2833
2017-04-21,2991
2017-04-22,3208
2017-04-23,3324
2017-04-24,2235
2017-04-25,2663
2017-04-26,2639
2017-04-27,2774
2017-04-28,2987
2017-04-29,3181
2017-04-30,3306
2017-05-01,2297
2017-05-02,2890
2017-05-03,2858
2017-05-04,2922
2017-05-05,3129
2017-05-06,3429
2017-05-07,3471
2017-05-08,2439
2017-05-09,2806
2017-05-10,2744
2017-05-11,3084
2017-05-12,3257
2017-05-13,3403
2017-05-14,3607
2017-05-15,2361
2017-05-16,2811
2017-05-17,2688
2017-05-18,2991
2017-05-19,3193
2017-05-20,3494
2017-05-21,3542
2017-05-22,2378
2017-05-23,2737
2017-05-24,2761
2017-05-25,2928
2017-05-26,3248
2017-05-27,3336
2017-05-28,3619
2017-05-29,2311
2017-05-30,2748
2017-05-31,2766
2017-06-01,3146
2017-06-02,3342
2017-06-03,3615
2017-06-04,3829
2017-06-05,2476
2017-06-06,2943
2017-06-07,2973
2017-06-08,3254
2017-06-09,3466
2017-06-10,3668
2017-06-11,3732
2017-06-12,2562
2017-06-13,2999
2017-06-14,2914
2017-06-15,3187
2017-06-16,3355
2017-06-17,3660
2017-06-18,3803
2017-06-19,2590
2017-06-20,2948
2017-06-21,2980
2017-06-22,3167
2017-06-23,3404
2017-06-24,3581
2017-06-25,3746
2017-06-26,2621
2017-06-27,2907
2017-06-28,2861
2017-06-29,3127
2017-06-30,3332
2017-07-01,3788
2017-07-02,4041
2017-07-03,2666
2017-07-04,3264
2017-07-05,3214
2017-07-06,3300
2017-07-07,3654
2017-07-08,3896
2017-07-09,4066
2017-07-10,2659
2017-07-11,3094
2017-07-12,3121
2017-07-13,3318
2017-07-14,3663
2017-07-15,3945
2017-07-16,4199
2017-07-17,2765
2017-07-18,3154
2017-07-19,3180
2017-07-20,3299
2017-07-21,3612
2017-07-22,3843
2017-07-23,4001
2017-07-24,2725
2017-07-25,3163
2017-07-26,3157
2017-07-27,3353
2017-07-28,3560
2017-07-29,3733
2017-07-30,4007
2017-07-31,2747
2017-08-01,2731
2017-08-02,2797
2017-08-03,2880
2017-08-04,3209
2017-08-05,3423
2017-08-06,3588
2017-08-07,2370
2017-08-08,2788
2017-08-09,2735
2017-08-10,2998
2017-08-11,3180
2017-08-12,3294
2017-08-13,3595
2017-08-14,2416
2017-08-15,2861
2017-08-16,2736
2017-08-17,2987
2017-08-18,3113
2017-08-19,3336
2017-08-20,3656
2017-08-21,2365
2017-08-22,2874
2017-08-23,2776
2017-08-24,2991
2017-08-25,3226
2017-08-26,3447
2017-08-27,3621
2017-08-28,2379
2017-08-29,2735
2017-08-30,2767
2017-08-31,2982
2017-09-01,2981
2017-09-02,3122
2017-09-03,3228
2017-09-04,2265
2017-09-05,2566
2017-09-06,2566
2017-09-07,2796
2017-09-08,3020
2017-09-09,3164
2017-09-10,3350
2017-09-11,2267
2017-09-12,2576
2017-09-13,2618
2017-09-14,2759
2017-09-15,2969
2017-09-16,3176
2017-09-17,3316
2017-09-18,2177
2017-09-19,2578
2017-09-20,2568
2017-09-21,2786
2017-09-22,2959
2017-09-23,3234
2017-09-24,3345
2017-09-25,2253
2017-09-26,2567
2017-09-27,2629
2017-09-28,2772
2017-09-29,2992
2017-09-30,3160
2017-10-01,2968
2017-10-02,1976
2017-10-03,2426
2017-10-04,2472
2017-10-05,2619
2017-10-06,2699
2017-10-07,2912
2017-10-08,3167
2017-10-09,2047
2017-10-10,2387
2017-10-11,2389
2017-10-12,2551
2017-10-13,2709
2017-10-14,2982
2017-10-15,3093
2017-10-16,2087
2017-10-17,2407
2017-10-18,2433
2017-10-19,2595
2017-10-20,2765
2017-10-21,2945
2017-10-22,3078
2017-10-23,2163
2017-10-24,2346
2017-10-25,2477
2017-10-26,2585
2017-10-27,2802
2017-10-28,2907
2017-10-29,3109
2017-10-30,2003
2017-10-31,2420
2017-11-01,2641
2017-11-02,2719
2017-11-03,3014
2017-11-04,3111
2017-11-05,3424
2017-11-06,2291
2017-11-07,2703
2017-11-08,2661
2017-11-09,2851
2017-11-10,2941
2017-11-11,3135
2017-11-12,3485
2017-11-13,2245
2017-11-14,2560
2017-11-15,2654
2017-11-16,2810
2017-11-17,3056
2017-11-18,3136
2017-11-19,3370
2017-11-20,2197
2017-11-21,2575
2017-11-22,2532
2017-11-23,2796
2017-11-24,2912
2017-11-25,3202
2017-11-26,3288
2017-11-27,2176
2017-11-28,2657
2017-11-29,2603
2017-11-30,2755
2017-12-01,2143
2017-12-02,2170
2017-12-03,2418
2017-12-04,1510
2017-12-05,1829
2017-12-06,1841
2017-12-07,1984
2017-12-08,2139
2017-12-09,2255
2017-12-10,2391
2017-12-11,1681
2017-12-12,1811
2017-12-13,1860
2017-12-14,1987
2017-12-15,2147
2017-12-16,2288
2017-12-17,2375
2017-12-18,1617
2017-12-19,1791
2017-12-20,1875
2017-12-21,2028
2017-12-22,2122
2017-12-23,2297
2017-12-24,2384
2017-12-25,1576
2017-12-26,1843
2017-12-27,1837
2017-12-28,1951
2017-12-29,2116
2017-12-30,2304
2017-12-31,2388
